sample,gene,log2(burst size_fc),log2(burst frequency_fc),log2(mean_fc),log2(var_fc),select
NA12878,ENSG00000001036,-0.10396199898001418,0.0028692700282133637,-0.10138930142902419,-0.11372304234034897,0
NA12878,ENSG00000002586,-0.455673311991001,0.8788738408213599,0.42022037114356586,0.15113311292317286,0
NA12878,ENSG00000002822,0.4138287639153183,0.19553700738434593,0.5659611522888957,0.7790209166788309,0
NA12878,ENSG00000003402,-0.06957787792764547,-0.1956309146032836,-0.45024837560612424,-0.32139393680891504,0
NA12878,ENSG00000004142,0.13710512545602205,-0.2666198028866159,-0.12921793706618054,-0.0039289089993493,0
NA12878,ENSG00000004700,1.544460502417523,-1.4108270378537182,0.08674459944576207,0.04195023154970294,0
NA12878,ENSG00000006453,0.09019789558419695,0.22438671927036927,0.31319824217185516,0.22333617820634305,0
NA12878,ENSG00000006625,0.011567310776131722,0.2203759768878814,0.23257120528604014,0.30261612387578535,0
NA12878,ENSG00000007080,-0.9177567819712508,0.7747498378764833,-0.14360649512771878,-0.27247720069564535,0
NA12878,ENSG00000007312,-0.3625193596355981,0.5570171973177193,0.1912416656022038,0.017906080065853123,0
NA12878,ENSG00000007923,-0.8323350578065228,0.7358254418758944,-0.08027658934391478,-0.0995980536197121,0
NA12878,ENSG00000008988,-0.4850355138575828,1.6318120597076509,1.0178277462595697,0.5959267229642885,0
NA12878,ENSG00000009335,-0.7022020911770568,0.3730185828855138,-0.32902281541523637,-0.28787986598091253,0
NA12878,ENSG00000010165,-0.17228014688676843,0.17489199637705985,0.004433543528486833,-0.04345127473408076,1
NA12878,ENSG00000010270,-0.4278009993100156,-0.18107755219864236,-0.60845561217223,-0.6868817857299063,0
NA12878,ENSG00000010292,-0.5703652311806134,0.5776381211492518,0.007555749138585401,-0.00478716686044907,0
NA12878,ENSG00000011260,-0.348451702604676,0.7756736647284814,0.42704325711361846,0.416469437225326,0
NA12878,ENSG00000013441,1.146828701472519,-1.2658762229257623,-0.12001857469044909,-0.10699080299640924,0
NA12878,ENSG00000015133,0.06623884816658901,0.4440825004040938,0.5102451141053057,0.49356775930480823,0
NA12878,ENSG00000022277,-0.21148035652967462,0.06663950334801057,-0.1445904965716758,-0.11867111932551745,0
NA12878,ENSG00000023892,0.19792087300792252,-0.09615086942040045,0.09874120940431427,0.04093990040989668,0
NA12878,ENSG00000025708,-0.07016157426883507,-0.4439351640354624,-0.5143332404962625,-0.3850683150234797,0
NA12878,ENSG00000026297,0.03769312148237708,-0.0774729117854371,-0.04553724562932899,-0.12298328676900212,1
NA12878,ENSG00000026508,-1.0871824852580427,0.11312885802067503,-0.5568379718443073,-0.620463621918319,0
NA12878,ENSG00000028203,-0.6646344532320838,0.9723497903690235,0.3108942086676149,0.3053371418716282,0
NA12878,ENSG00000028310,1.2493776843057283,-1.5014890013488615,-0.2546474166075129,-0.30441965541507326,0
NA12878,ENSG00000028528,-0.8477456999601604,1.110632912581916,0.26457072618037414,0.12042586405706966,0
NA12878,ENSG00000030582,0.3720769439533868,-0.49143149845224726,-0.11802740150446447,-0.2185168680059465,0
NA12878,ENSG00000033050,-1.3071233535035296,1.1779304617764035,-0.12939154675912548,-0.13991922857399378,0
NA12878,ENSG00000033178,-1.5631630360877486,1.6566219288326214,0.09487569548385218,0.02851333549107816,0
NA12878,ENSG00000033627,-0.23682970637491838,0.2869828046198833,0.049950803725171536,0.07376642941644075,0
NA12878,ENSG00000037897,-0.014557030855377042,0.3596624899828536,0.3454340078479911,0.3339256823296495,0
NA12878,ENSG00000042286,0.8111983060462152,-1.1676498018025485,-0.35633916948609445,-0.5803186285541055,0
NA12878,ENSG00000043514,-0.5895489346882794,0.9433420271939769,0.35374521060017067,0.2645536459795322,0
NA12878,ENSG00000044115,0.01635587659013457,0.3450251605449474,0.3605705017383596,0.22927315638771256,0
NA12878,ENSG00000046604,0.286842506536015,0.014677387765693417,0.3800932491290319,0.22868041463126684,0
NA12878,ENSG00000048162,-0.747345990350176,0.5400013305471093,-0.20865201465933708,-0.3472489729119621,0
NA12878,ENSG00000048471,0.9945044140647044,-0.8273075150594114,0.08936210742658332,-0.03142389562760499,0
NA12878,ENSG00000048544,-0.813371869318647,0.8899446820531804,0.07652394969948488,-0.022791231468864772,0
NA12878,ENSG00000048828,1.041738919563175,-1.138453391883366,-0.09658337574244594,-0.09315049686313306,0
NA12878,ENSG00000049449,-0.152037611185864,-0.3445014688096093,-0.19230759810716785,-0.23459249562908746,0
NA12878,ENSG00000050393,-0.05995516278547287,0.11910762313610873,0.05915787529745625,0.0022697645404236564,0
NA12878,ENSG00000050820,1.6387119222702997,-1.2214783175909418,0.2082334714141083,0.11716058261447147,0
NA12878,ENSG00000051523,-0.07065398040020868,-0.011318165754244628,-0.08150230272564261,0.03326855840185887,0
NA12878,ENSG00000051825,0.2574672103384185,0.23702391055206165,0.4194847095319284,0.4476627170819953,0
NA12878,ENSG00000053372,-0.5531027484632832,0.07000751241991114,-0.482777714575544,-0.5752018395572961,0
NA12878,ENSG00000054219,-0.08938896612304004,0.2571007730594784,0.28145188457345033,0.29873331048855406,0
NA12878,ENSG00000054267,-0.6850058609159496,0.6424025314948791,-0.042685396668352915,0.02853600692903356,0
NA12878,ENSG00000054277,-0.35261511444673177,0.24779739525103137,-0.10245288593965138,-0.054009627460026306,0
NA12878,ENSG00000057608,-0.11968590166953656,0.08592459983504615,-0.03307429841281147,0.0018175850900077352,0
NA12878,ENSG00000058729,-0.17000067745190994,-0.10270895583751224,-0.27290675935565917,-0.2817260305625312,0
NA12878,ENSG00000059573,-0.09528138055104761,-0.0579130681890208,-0.15337059934703745,-0.1804053625517365,0
NA12878,ENSG00000059691,-0.39058113129103056,0.5300598860503175,0.13933123571958964,0.14361216054791293,0
NA12878,ENSG00000060237,-0.04750728652697637,0.04488232967589784,-0.0030141378778166467,0.06007420280312286,1
NA12878,ENSG00000061936,-0.1907344343706906,-0.3061295449332029,-0.49689426385891955,-0.4839190125873751,0
NA12878,ENSG00000062716,0.41698961443847155,-0.6584216075565392,-0.23914786600225593,-0.11775762100597349,0
NA12878,ENSG00000064419,-0.1718078804085658,0.22388491027757598,0.05190465901076382,0.08766010133227346,0
NA12878,ENSG00000064886,0.9108009300140978,-3.0140557320532295,-2.5141236751776006,-2.4842843645184756,0
NA12878,ENSG00000064961,-0.16792171527140373,-0.0033601661754467543,-0.17144449940247736,-0.13897333933976724,0
NA12878,ENSG00000065308,-0.0047551557117686645,-0.319310072633819,-0.32428146318424894,-0.39993482411756964,0
NA12878,ENSG00000065802,0.728503518648276,-1.6155833782889613,-0.8898440321405952,-0.8612309522279419,0
NA12878,ENSG00000065809,-0.13221045681181348,0.21679958359493812,0.14965400061815953,0.11922139921845493,0
NA12878,ENSG00000066044,-0.3300726641133464,0.36963165106626794,0.039663438615528124,0.011858937106296227,0
NA12878,ENSG00000066379,-1.6752880652505637,1.928850386076915,0.2533645500371385,0.18538263906317345,0
NA12878,ENSG00000066583,0.10173538358164186,-0.20663147765309742,-0.08150868435856454,-0.015934145907142518,0
NA12878,ENSG00000066654,-0.3626046541113565,0.5486400449920502,0.18602310500395047,0.10876022046578114,0
NA12878,ENSG00000066923,0.1364612676990558,-0.3155320510484581,-0.1763206956562526,-0.042811683059320184,0
NA12878,ENSG00000067057,-0.9980025667320335,0.6338429430416446,-0.3638390263901678,-0.42806255143341343,0
NA12878,ENSG00000067064,-0.47317065438856404,0.22508904818773026,-0.24894306605438976,-0.35345574019481174,0
NA12878,ENSG00000067066,-0.7509651228449925,0.6792191865309662,-0.07095412389182805,0.016879964275986356,0
NA12878,ENSG00000067334,-0.8750093666369476,0.8105680896710907,-0.06465864319450282,0.0031086257165963056,0
NA12878,ENSG00000067365,-0.12187484250962788,0.7066671260575714,0.5849625007211562,0.585739940542141,0
NA12878,ENSG00000067900,0.2454712201543774,0.06888393068182186,0.31443410810180195,0.18478765402863506,0
NA12878,ENSG00000068489,0.5241293527705075,-0.38386587557396545,0.14022730941855735,0.07544727375254123,0
NA12878,ENSG00000068831,0.17958700403087133,0.011958368952776858,0.21833070894103268,0.5749763294114375,1
NA12878,ENSG00000068903,-0.9163354373035127,0.8966816709300681,-0.01852839401775601,-0.009518667586143158,0
NA12878,ENSG00000068912,0.0473456589562069,-0.14561859148301143,-0.09816560652894626,-0.07133987810851045,0
NA12878,ENSG00000070081,-0.0051890176137448715,0.19750220740503033,0.19312348679584324,0.10073063205074936,0
NA12878,ENSG00000070814,-0.7323084591674893,0.6460698929776891,-0.0855892755479401,-0.07234861492092708,0
NA12878,ENSG00000070961,-0.08548885861610736,-0.22012800160390222,-0.3060353430548713,-0.180747433059393,0
NA12878,ENSG00000071127,-0.2686142600332191,0.4420539275294354,0.17438080972347977,0.12633016036031305,0
NA12878,ENSG00000071539,-0.8362493358451537,1.1326367702069782,0.296135958163008,0.3524570337526377,0
NA12878,ENSG00000072756,0.8129697523344732,-0.6451318320450921,0.16683774145320884,0.17240049065155144,0
NA12878,ENSG00000073050,0.19189821604963675,-0.17273704870720377,0.018345143256631613,-0.06323896925174802,1
NA12878,ENSG00000073849,-0.20008871149606505,0.1044282718458169,-0.0958565941816124,-0.18418862311975343,0
NA12878,ENSG00000073861,0.7827278553984902,-0.7370251737084512,0.027142207816705545,0.246015580206536,1
NA12878,ENSG00000074695,0.38646376960812184,-0.32760753968644385,0.05752901836725229,-0.002237240231277581,0
NA12878,ENSG00000075131,0.20189032234216697,-0.30646214704233005,-0.10502171034289376,-0.12478790422282565,0
NA12878,ENSG00000075336,-0.8560137454737942,-0.16997316013171362,-1.0262210630486839,-0.9922680718333357,0
NA12878,ENSG00000075624,0.027461402307993876,-0.05659748358766431,-0.023470978902217717,-0.030867465183536388,0
NA12878,ENSG00000075856,-0.11442759582091803,-0.08395844870081785,-0.19953184261753582,-0.2637955581788328,0
NA12878,ENSG00000076944,-0.17611649819258715,0.3561149915312462,0.18003621277719958,0.19777475019794388,0
NA12878,ENSG00000077147,-0.8743568345773334,0.8147022942827781,-0.059665025469252,-0.006582691760766482,0
NA12878,ENSG00000077514,-0.17775644646676728,0.24952315485227616,0.07164285756130158,0.0069695548148418105,0
NA12878,ENSG00000078668,-0.4394511632524064,0.4199774846885523,-0.02214281943170544,0.013534959010787367,0
NA12878,ENSG00000078674,-0.37353113009279365,0.6371373624482983,0.2628012304367578,0.25014472119198455,0
NA12878,ENSG00000079263,-1.194935653137106,1.5693320719844275,0.3740024244949026,0.2831490926197349,0
NA12878,ENSG00000079459,0.05481192765790579,-0.5040441698918117,-0.4484354746741339,-0.4840832719360807,0
NA12878,ENSG00000079819,1.0282600516400255,-0.5614339209242432,0.25738784269265175,0.15577275818302275,0
NA12878,ENSG00000079931,-0.6078608153820558,2.0200782975515423,1.4242261857026133,1.3019456605303552,0
NA12878,ENSG00000080819,0.10229010214067126,-0.7774062152779676,-0.6770395787007042,-0.619473259253706,0
NA12878,ENSG00000080986,-1.0128256189504297,1.1306525034858768,0.11755748374827572,0.06980732221919124,0
NA12878,ENSG00000081320,0.24068762703423713,0.41930480413993676,0.3387379111718551,0.24045738270913805,0
NA12878,ENSG00000082515,-0.5151229952148846,0.30835990872865693,-0.20852507915712348,-0.22405439249956355,0
NA12878,ENSG00000083845,-0.5222959033459527,1.4338495546507652,0.7673320821863256,0.4221882137337943,0
NA12878,ENSG00000084072,-2.7141354377633737,3.1129977464643512,0.40210538529540757,0.3068867242175712,0
NA12878,ENSG00000084207,-0.15564257659076217,0.33379627012491114,0.16494845308962744,0.08901297688439133,0
NA12878,ENSG00000084463,-0.4674431592862594,1.4202133667701275,0.952097272037671,0.8496363284573077,0
NA12878,ENSG00000084623,-0.21986738873744968,0.32100515581794115,0.09746048208499028,0.048277181025813055,0
NA12878,ENSG00000085063,-0.2797418245065705,0.31318707622625136,0.032874889027265826,0.044156511220419324,0
NA12878,ENSG00000085832,-1.7527077465878247,1.652524404030085,-0.10379109814060734,-0.21646526630077367,1
NA12878,ENSG00000085872,-0.4568693994490528,0.341840323575618,-0.11515629384357028,-0.17817419256996944,0
NA12878,ENSG00000086598,-0.32297226749485025,0.8581539041958989,0.5242987489206549,0.2580464160549127,0
NA12878,ENSG00000086619,0.5142516888724896,-0.49800429456726214,-0.19260534978191715,-0.3053554189363888,0
NA12878,ENSG00000087008,0.9592574147542002,-1.4260973911974415,-0.4674357313504267,-0.36826254420598403,0
NA12878,ENSG00000087074,-0.4280135868648777,0.7589813413307565,0.33078366682347454,0.24336276603155949,0
NA12878,ENSG00000087077,-0.15070672029274404,0.4644085086690782,0.31401649591762987,0.4261431262107963,0
NA12878,ENSG00000087086,-0.9519415644166658,3.3866512623145586,2.2865679515465565,2.462546406951425,0
NA12878,ENSG00000087087,-1.6142117971071803,1.47001898989993,-0.028495419283822654,1.1428845307473496,1
NA12878,ENSG00000087191,0.28995570960187766,-0.41539764423596076,-0.12424979045794873,-0.07340657624608814,0
NA12878,ENSG00000087460,2.1162575925393194,-4.867658979871528,-2.7329649343199707,-1.767424307939687,0
NA12878,ENSG00000088205,-0.008955678852427155,-0.3184991969448087,-0.3267145749156645,-0.16746014571302523,0
NA12878,ENSG00000088812,-3.381689628976876,3.249265633533639,-0.08091999538356748,-0.2076576487974204,1
NA12878,ENSG00000088832,-0.17227043525489913,0.3695492877714783,0.2043526124181319,0.1517020453972632,0
NA12878,ENSG00000088833,-1.0131623346436671,0.826218858337396,-0.18710003253297716,-0.15643277371847183,0
NA12878,ENSG00000089048,-0.23845114783996085,0.2834555999969127,0.045182144576038745,-0.00454491922341241,0
NA12878,ENSG00000089154,0.6626772538541044,-0.6515303662533556,0.011259592917108567,0.0637468095027454,1
NA12878,ENSG00000089220,-0.13814569910009808,-0.04854019077361233,-0.18519966864085072,-0.13966740940009026,0
NA12878,ENSG00000089327,-1.1339744080661223,0.8529235605153823,-0.28167440920315756,-0.3214868299624526,0
NA12878,ENSG00000089685,-0.42693467429247794,0.14184532512271786,-0.2816957395786665,-0.23522448510395663,0
NA12878,ENSG00000090060,0.24250847542387954,-0.26671257327834025,-0.025098496100872728,-0.08503442561024349,1
NA12878,ENSG00000090339,-0.5898914303339866,0.6925165529208,0.13360816244840548,0.27377991987903805,1
NA12878,ENSG00000090487,-0.15971466158839706,-0.4274674091156236,-0.5875068088698239,-0.650422912663585,0
NA12878,ENSG00000092094,-0.5018872677143771,0.35074126381484017,-0.150047259764475,-0.1712783691544706,0
NA12878,ENSG00000092820,-0.500730601881297,0.8505911468244598,0.3503263116525483,0.2698481272681049,0
NA12878,ENSG00000092964,-0.8849557469761579,0.7893474095707723,-0.049990218913893526,0.018102461582454796,0
NA12878,ENSG00000094804,0.11113253829214494,-0.006067978698994791,0.10568644476355253,0.07268710735382629,0
NA12878,ENSG00000095139,0.5141620923975994,-0.5155409173541422,-0.0026716582466332272,-0.05507443492747922,1
NA12878,ENSG00000095906,-0.7959429907829355,0.4964375849514435,-0.29966732447604316,-0.486892972974749,0
NA12878,ENSG00000096746,0.0975381912695776,0.17908829171959578,0.27743820329833635,0.30753009185121805,0
NA12878,ENSG00000099800,-0.15327710002582254,0.4089410773511473,0.2525420320161515,0.24235046023186618,0
NA12878,ENSG00000099817,-0.09499917693592021,-0.23273040816635135,-0.32930892449364013,-0.41949174350611185,0
NA12878,ENSG00000099821,-0.6917770390573619,0.956949481208342,0.2656362010220741,0.1920565447071463,0
NA12878,ENSG00000099840,0.051913212310329776,-0.2945870147554523,-0.1954560802182543,-0.5273149440763066,1
NA12878,ENSG00000099875,-0.7718370129060558,1.8033991526729296,1.2446046982781025,0.9726879767181419,0
NA12878,ENSG00000100055,0.17386791847282845,-0.9219529555537141,-0.7493429154993604,-0.7582456033443206,0
NA12878,ENSG00000100116,-0.03145418486958286,-0.4658170105861424,-0.5058359566872624,-0.5398822521204265,0
NA12878,ENSG00000100138,0.36356553625121624,-0.7380783047379391,-0.3657488597013645,-0.12291675402561217,0
NA12878,ENSG00000100239,-0.04742064956311727,-0.02816101160922501,-0.07561982285298276,-0.11079528698079608,0
NA12878,ENSG00000100294,-1.6926607783238081,1.4701554665928227,-0.22275562002793983,-0.31739966454103635,0
NA12878,ENSG00000100300,-1.1722829565462687,2.1497439380789274,0.9759205243769568,0.5525369303407472,0
NA12878,ENSG00000100304,-0.1636979479371915,0.12521383094827163,-0.036743688959120877,-0.04716774087799576,0
NA12878,ENSG00000100348,-0.9243026755026502,0.7345073094984962,-0.19386105989117797,-0.2148221254701366,0
NA12878,ENSG00000100395,0.8591696499744365,-0.5575384666293621,0.3038122520813327,0.22832985815270457,0
NA12878,ENSG00000100403,0.6214715543892289,-0.7292519030031877,-0.10781242771644245,-0.0522512534207184,0
NA12878,ENSG00000100461,-0.7998863414867328,1.505351043093118,0.7079546734104218,0.6101838926517413,0
NA12878,ENSG00000100519,-0.44646738650327555,0.3759240379272014,-0.07070947468374929,-0.07268394163452595,0
NA12878,ENSG00000100564,-0.817225152736188,0.4883670650752663,-0.3287503117939388,-0.2868903301343931,0
NA12878,ENSG00000100591,-0.38344101000903463,0.1307359072336129,-0.25405985287372884,-0.26738614403682465,0
NA12878,ENSG00000100628,0.9912414599472851,-1.069603829925041,-0.1409069255252439,-0.23483603541614065,0
NA12878,ENSG00000100749,-0.0415333270560223,-0.23109538252198994,-0.2727398059321808,-0.15021018965498692,0
NA12878,ENSG00000100813,-0.1552776970752307,0.08433064387169871,-0.07072879425104939,-0.06736036823876011,0
NA12878,ENSG00000100865,-0.5693805772229394,0.29328127146558336,-0.27593535506155525,-0.15339576632041993,0
NA12878,ENSG00000100906,-0.02033851234308978,-0.0684661998559014,-0.09010268921422318,-0.10498038540102649,0
NA12878,ENSG00000101166,-1.1677339806443614,1.3838204184915988,0.21510798913501553,0.12562878046416895,0
NA12878,ENSG00000101189,0.09831358469946919,-0.24821083651804196,-0.1500074563397232,-0.15816358840898553,0
NA12878,ENSG00000101361,-0.014063594296800354,-0.1269686604593128,-0.14315824421965287,-0.16289648615866026,0
